"URLArticulo","titulo","autor","resumen","fecha"
"https://hacks.mozilla.org/2025/03/improving-firefox-stability-in-the-enterprise-by-reducing-dll-injection/","Improving Firefox Stability in the Enterprise by Reducing DLL Injection","By Haik Aftandilian",,
"https://hacks.mozilla.org/2025/02/interop-2025/","Launching Interop 2025","By James Graham","The Interop Project is a collaboration between browser vendors and other platform implementors to provide users and web developers with high quality implementations of the web platform.",
"https://hacks.mozilla.org/2024/12/introducing-uniffi-for-react-native-rust-powered-turbo-modules/","Introducing Uniffi for React Native: Rust-Powered Turbo Modules","By Mark Mayo, Tony Haile","This is a big win for us and for Filament who co-developed the library with Mozilla and James Hugman, the lead developer. We think it will be awesome for many other developers too. Less code is good. Memory safety is good. Performance is good. We get all three, plus the joy of using a language we love in more places.",
"https://hacks.mozilla.org/2024/10/llamafile-v0-8-14-a-new-ui-performance-gains-and-more/","Llamafile v0.8.14: a new UI, performance gains, and more","By Stephen Hood",,
"https://hacks.mozilla.org/2024/08/0din-a-genai-bug-bounty-program-securing-tomorrows-ai-together/","0Din: A GenAI Bug Bounty Program – Securing Tomorrow’s AI Together","By Marco Figueroa","As AI continues to evolve, so do the threats against it. As these GenAI systems become more sophisticated and widely adopted, ensuring their security and ethical use becomes paramount. 0Din is a groundbreaking GenAI bug bounty program dedicated specifically to help secure GenAI systems and beyond. In this blog, you’ll learn about 0Din, how it works, and how you can participate and make a difference in securing our AI future.",
"https://hacks.mozilla.org/2024/08/puppeteer-support-for-firefox/","Announcing Official Puppeteer Support for Firefox","By James Graham, Henrik Skupin, Julian Descottes, Alexandra Borovova","We’re pleased to announce that, as of version 23, the Puppeteer browser automation library now has first-class support for Firefox. This means that it’s now easy to write automation and perform end-to-end testing using Puppeteer, and run against both Chrome and Firefox.",
"https://hacks.mozilla.org/2024/06/snapshots-for-ipc-fuzzing/","Snapshots for IPC Fuzzing","By Christian Holler","By running potentially harmful code with lower privileges, the impact of a potential code execution vulnerability is mitigated. In order to gain full control, the attacker now needs to find a second vulnerability that allows bypassing these privilege restrictions – which is colloquially known as a “sandbox escape”.",
"https://hacks.mozilla.org/2024/06/sponsoring-sqlite-vec-to-enable-more-powerful-local-ai-applications/","Sponsoring sqlite-vec to enable more powerful Local AI applications","By Stephen Hood","As a part of Mozilla Builders, we’ve launched an accelerator that developers can apply to join, but in parallel we have also been proactively recruiting specific open source projects that we feel have the potential to move AI forward and would benefit from Mozilla’s investment, expertise, and support. Our first such Builders project is llamafile, led by open source developer Justine Tunney. llamafile makes open LLMs run fast on everyday consumer hardware while also making open source AI dramatically more accessible and usable.",
"https://hacks.mozilla.org/2024/05/experimenting-with-local-alt-text-generation-in-firefox-nightly/","Experimenting with local alt text generation in Firefox Nightly","By Tarek Ziadé",,
"https://hacks.mozilla.org/2024/04/llamafiles-progress-four-months-in/","Llamafile’s progress, four months in","By Stephen Hood","Through it all, lead developer and project visionary Justine Tunney has remained hard at work on a wide variety of fundamental improvements to the project. Just last night, Justine shipped the v0.8 release of llamafile, which includes not only support for the very latest open models, but also a number of big performance improvements for CPU inference.",
"https://hacks.mozilla.org/2024/04/porting-a-cross-platform-gui-application-to-rust/","Porting a cross-platform GUI application to Rust","By Alex Franchuk","This post details the approach we have taken to rewrite the crash reporter in Rust. We discuss the reasoning behind this rewrite, what makes the crash reporter a unique application, the architecture we used, and some details of the implementation.",
"https://hacks.mozilla.org/2024/04/prototype-even-faster-with-the-gradio-ui-for-figma-component-library/","Prototype even faster with the Gradio UI for Figma component library","By Thomas Lodato, Dan Brown","Although Gradio has made the development phase of prototyping easier, the design phase has been largely the same. Even with Gradio, designers have had to create components in Figma, outline expected user flows and behaviors, and hand off designs for developers in the same way they have always done. While working on a recent exploration, we realized something was needed: a set of Figma components based on Gradio that enabled designers to create wireframes quickly.",
"https://hacks.mozilla.org/2024/03/improving-performance-in-firefox-and-across-the-web-with-speedometer-3/","Improving Performance in Firefox and Across the Web with Speedometer 3","By Brian Grinstead","This fulfills the vision set out in December 2022 to bring experts across the industry together in order to rethink how we measure browser performance, guided by a shared goal to reflect the real-world Web as much as possible. This is the first time the Speedometer benchmark, or any major browser benchmark, has been developed through a cross-industry collaboration supported by each major browser engine: Blink, Gecko, and WebKit. Working together means we can build a shared understanding of what matters to optimize, and facilitates broad review of the benchmark itself: both of which make it a stronger lever for improving the Web as a whole.",
"https://hacks.mozilla.org/2024/02/announcing-interop-2024/","Announcing Interop 2024","By James Graham","The web platform is built on interoperability based on common standards. This offers users a degree of choice and control that sets the web apart from proprietary platforms defined by a single implementation. A commitment to ensuring that the web remains open and interoperable forms a fundamental part of Mozilla’s manifesto and web vision, and is why we’re so committed to shipping Firefox with our own Gecko engine.",
"https://hacks.mozilla.org/2024/01/option-soup-the-subtle-pitfalls-of-combining-compiler-flags/","Option Soup: the subtle pitfalls of combining compiler flags","By Serge Guelton, Yannis Juglaret","During the Firefox 120 beta cycle, a new crash signature appeared on our radars with significant volume.",
"https://hacks.mozilla.org/2023/12/puppeteer-webdriver-bidi/","Puppeteer Support for the Cross-Browser WebDriver BiDi Standard","By James Graham",,
"https://hacks.mozilla.org/2023/11/firefox-developer-edition-and-beta-try-out-mozillas-deb-package/","Firefox Developer Edition and Beta: Try out Mozilla’s .deb package!","By Johan Lorenzo (Mozilla)","We’ve set up a new APT repository for you to install Firefox as a .deb package. These packages are compatible with the same Debian and Ubuntu versions as our traditional binaries.",
"https://hacks.mozilla.org/2023/11/introducing-llamafile/","Introducing llamafile","By Stephen Hood","Today we’re announcing the first release of llamafile and inviting the open source community to participate in this new project.",
"https://hacks.mozilla.org/2023/11/mozilla-ai-guide-launch-with-summarization-code-example/","Mozilla AI Guide Launch with Summarization Code Example","By Dan Brown","Our vision is for the AI Guide to be the starting point for every new developer to the space and a place to revisit for clarity and inspiration, ensuring that AI innovations enrich everyday life. The AI Guide’s initial focus begins with language models and the aim is to become a collaborative community-driven resource covering other types of models.",
"https://hacks.mozilla.org/2023/10/down-and-to-the-right-firefox-got-faster-for-real-users-in-2023/","Down and to the Right: Firefox Got Faster for Real Users in 2023","By Bas Schouten","This can be especially challenging with complex client software running third-party code like Firefox, and it’s a big reason why we’ve undertaken the Speedometer 3 effort alongside other web browsers. Our goal is to build performance tests that simulate real-world user experiences so that browsers have better tools to drive improvements for real users on real webpages. While it’s easy to see that benchmarks have improved in Firefox throughout the year as a result of this work, what we really care about is how much those wins are being felt by our users.",
